Боровск;Калужская область;Центральный;12283
Бородино;Красноярский край;Сибирский;17423
Братск;Иркутская область;Сибирский;246348
Бронницы;Московская область;Центральный;21102
Брянск;Брянская область;Центральный;415640
Бугульма;Татарстан;Приволжский;89144
Бугуруслан;Оренбургская область;Приволжский;52249
Будённовск;Ставропольский край;Северо-Кавказский;64628
Бузулук;Оренбургская область;Приволжский;82816
Буинск;Татарстан;Приволжский;20342
Буй;Костромская область;Центральный;25763
Буйнакск;Дагестан;Северо-Кавказский;65735
Бутурлиновка;Воронежская область;Центральный;27208
Валдай;Новгородская бласть;Северо-Западный;16099
Валуйки;Белгородская область;Центральный;35322
Велиж;Смоленская область;Центральный;7620
Великие Луки;Псковская область;Северо-Западный;98778
Великий Новгород;Новгородская бласть;Северо-Западный;218724
Великий Устюг;Вологодская область;Северо-Западный;31664
Вельск;Архангельская область;Северо-Западный;23885
Венёв;Тульская область;Центральный;15220
Верещагино;Пермский край;Приволжский;22760
Верея;Московская область;Центральный;5368
Верхнеуральск;Челябинская область;Уральский;9459
Верхний Тагил;Свердловская область;Уральский;11843
Верхний Уфалей;Челябинская область;Уральский;30504
Верхняя Пышма;Свердловская область;Уральский;58707
Верхняя Салда;Свердловская область;Уральский;46240
Верхняя Тура;Свердловская область;Уральский;9468
Верхотурье;Свердловская область;Уральский;8815
Верхоянск;Якутия;Дальневосточный;1311
Весьегонск;Тверская область;Центральный;7330
Ветлуга;Нижегородская область;Приволжский;8956
Видное;Московская область;Центральный;56798
Вилюйск;Якутия;Дальневосточный;10233
Вилючинск;Камчатский край;Дальневосточный;22905
Вихоревка;Иркутская область;Сибирский;22528
Вичуга;Ивановская область;Центральный;37609
Владивосток;Приморский край;Дальневосточный;592069
Владикавказ;Северная Осетия - Алания;Северо-Кавказский;311635
Владимир;Владимирская область;Центральный;348256
Волгоград;Волгоградская область;Южный;1021244
Волгодонск;Ростовская область;Южный;170621
Волгореченск;Костромская область;Центральный;17108
Волжск;Марий Эл;Приволжский;55671
Волжский;Волгоградская область;Южный;314436
Вологда;Вологодская область;Северо-Западный;301642
Володарск;Нижегородская область;Приволжский;9924
Волоколамск;Московская область;Центральный;23386
Волосово;Ленинградская область;Северо-Западный;12162
Волхов;Ленинградская область;Северо-Западный;47344
Волчанск;Свердловская область;Уральский;10008
Вольск;Саратовская область;Приволжский;66520
Воркута;Коми;Северо-Западный;70551
Воронеж;Воронежская область;Центральный;889680
Ворсма;Нижегородская область;Приволжский;11622
Воскресенск;Московская область;Центральный;91301
Воткинск;Удмуртия;Приволжский;100034
Всеволожск;Ленинградская область;Северо-Западный;59689
Вуктыл;Коми;Северо-Западный;12357
Выборг;Ленинградская область;Северо-Западный;80013
Выкса;Нижегородская область;Приволжский;56196
Высоковск;Московская область;Центральный;10642
Высоцк;Ленинградская область;Северо-Западный;1244
Вытегра;Вологодская область;Северо-Западный;10490
Вышний Волочёк;Тверская область;Центральный;52326
Вяземский;Хабаровский край;Дальневосточный;14556
Вязники;Владимирская область;Центральный;41252
Вязьма;Смоленская область;Центральный;57103
Вятские Поляны;Кировская область;Приволжский;35159
Гаврилов Посад;Ивановская область;Центральный;6434
Гаврилов-Ям;Ярославская область;Центральный;17792
Гагарин;Смоленская область;Центральный;31721
Гаджиево;Мурманская область;Северо-Западный;11089
Гай;Оренбургская область;Приволжский;38302
Галич;Костромская область;Центральный;17346
Гатчина;Ленинградская область;Северо-Западный;92566
Гвардейск;Калининградская область;Северо-Западный;13888
Гдов;Псковская область;Северо-Западный;4379
Геленджик;Краснодарский край;Южный;54813
Георгиевск;Ставропольский край;Северо-Кавказский;72126
Глазов;Удмуртия;Приволжский;95835
Голицыно;Московская область;Центральный;17447
Горбатов;Нижегородская область;Приволжский;2278
Горно-Алтайск;Алтай;Сибирский;62861
Горнозаводск;Пермский край;Приволжский;12334
Горняк;Алтайский край;Сибирский;13040
Городец;Нижегородская область;Приволжский;30699
Городище;Пензенская область;Приволжский;8102
Городовиковск;Калмыкия;Южный;9565
Гороховец;Владимирская область;Центральный;14015
Горячий Ключ;Краснодарский край;Южный;30093
Грайворон;Белгородская область;Центральный;6234
Гремячинск;Пермский край;Приволжский;11005
Грозный;Чечня;Северо-Кавказский;271596
Грязи;Липецкая область;Центральный;46798
Грязовец;Вологодская область;Северо-Западный;15528
Губаха;Пермский край;Приволжский;27544
Губкин;Белгородская область;Центральный;88562
Губкинский;Ямало-Ненецкий АО;Уральский;23340
Гудермес;Чечня;Северо-Кавказский;45643
Гуково;Ростовская область;Южный;67268
Гулькевичи;Краснодарский край;Южный;35225
Гурьевск;Калининградская область;Северо-Западный;12433
Гурьевск;Кемеровская область;Сибирский;24816
Гусев;Калининградская область;Северо-Западный;28260
Гусиноозёрск;Бурятия;Сибирский;23280
Гусь-Хрустальный;Владимирская область;Центральный;60773
Давлеканово;Башкортостан;Приволжский;24040
Дагестанские Огни;Дагестан;Северо-Кавказский;30671
Далматово;Курганская область;Уральский;13913
Дальнегорск;Приморский край;Дальневосточный;37503
Дальнереченск;Приморский край;Дальневосточный;27601
Данилов;Ярославская область;Центральный;15861
Данков;Липецкая область;Центральный;21056
